wav_filename,wav_filesize,transcript
common_voice_ar_19293886.wav,96044,أعمل لدى شركة شحن
common_voice_ar_19341226.wav,106028,أعرفها
common_voice_ar_19344427.wav,93740,أعرفها
common_voice_ar_19321578.wav,92204,أقدّر شجاعته
common_voice_ar_19344428.wav,106796,أقدّر شجاعته
common_voice_ar_19345294.wav,113708,هل يمكنني أن أستعمل قلمك الرصاص ؟
common_voice_ar_19346566.wav,99884,ما الذي كنت تفعله آن ذاك ؟
common_voice_ar_19346641.wav,139820,لا بد أنها ما زالت في العشرينات من عمرها
common_voice_ar_19356833.wav,106028,وقع الرجل العجوز على الأرض
common_voice_ar_19376169.wav,92204,ما الذي تفكر فيه ؟
common_voice_ar_19376247.wav,136748,ذهبَتْ إلى ألمانيا لتدرس الطب
common_voice_ar_19376298.wav,103724,يمكنها تحدث اليابانيّة
common_voice_ar_19376928.wav,75308,ليس بالضرورة
common_voice_ar_19377869.wav,121388,هطل الكثير من الثلج السنة الماضية
common_voice_ar_19377973.wav,194348,يحترم عالمنا قانوناً ذهبياً واحداً من يملك الذهب يضع القانون
common_voice_ar_19378008.wav,121388,ذاكر كل يوم لمدة ساعة ونصف
common_voice_ar_19380900.wav,142124,اترك لي بعض المثلجات
common_voice_ar_19381027.wav,172844,اليابانيون شعب مجد في عمله
common_voice_ar_19381132.wav,107564,أحبك بجنون
common_voice_ar_19381129.wav,122924,أختي أقصر منك
common_voice_ar_19381135.wav,159788,تعثرت مفاوضات السلام مجدداً
common_voice_ar_19381139.wav,142124,بوب و توم أخوَيْن
common_voice_ar_19382608.wav,132908,صعدت إلى غرفة نومها في الطابق العلوي
common_voice_ar_19381172.wav,138284,أتشاهد التلفاز ؟
common_voice_ar_19382769.wav,96044,في أي مكان في النمسا تربيت ؟
common_voice_ar_19382783.wav,102188,إني أنتظرك منذ خمس ساعات
common_voice_ar_19382811.wav,88364,هل لي أن أتحدث مع الطبيب ؟
common_voice_ar_19382794.wav,138284,الكل يريد أن يتعرف عليك إنك مشهور
common_voice_ar_19382784.wav,199724,تتويبا عندنا ، الاهتمام بالتفاصيل أمر مقدس ، و العقاب يأتي عاجلاً
common_voice_ar_19384091.wav,115244,إنك متعب ، أليس كذلك ؟
common_voice_ar_19384174.wav,69164,هل تحدثني ؟
common_voice_ar_19384160.wav,113708,إن أفضل وسيلة لاستحضار ما غاب أن تتجاهله
common_voice_ar_19384186.wav,98348,دامت الخطبة ثلاثين دقيقة
common_voice_ar_19384207.wav,86828,أحضر لي كرسياً من فضلك
common_voice_ar_19384216.wav,76844,كيف جئت إلى هنا ؟
common_voice_ar_19384247.wav,94508,تركتُ كتابك في السيارة
common_voice_ar_19384230.wav,92204,كان ذلك أمله الوحيد و الأخير
common_voice_ar_19384266.wav,80684,مرحباً جون ، كيف حالك ؟
common_voice_ar_19384248.wav,84524,أين تشاهد التلفاز ؟
common_voice_ar_19384274.wav,84524,الطيران أسرع وسيلة سفر
common_voice_ar_19384285.wav,80684,طلبت كتاباً من لندن
common_voice_ar_19384291.wav,59948,الأسود لي
common_voice_ar_19384269.wav,107564,و أخيراً أنهيت دراسة المرحلة الإعدادية
common_voice_ar_19384295.wav,111404,أمي ليست موجودة في المنزل طيلة الوقت
common_voice_ar_19384298.wav,86828,قضينا يوما هادئا في الريف
common_voice_ar_19384337.wav,90668,أمس كان عيد ميلادي
common_voice_ar_19384340.wav,82988,هذا كتاب جيد
common_voice_ar_19384302.wav,117548,تتألف هذه النظرية من ثلاثة أجزاء
common_voice_ar_19384344.wav,107564,استمرت المحاضرة مدة ساعتين
common_voice_ar_19384346.wav,92204,لنواجه الحقائق
common_voice_ar_19384357.wav,90668,هل العشاء جاهز ؟
common_voice_ar_19384345.wav,178988,ليس لدينا خيار سوى الانتظار قليلا من اجل المقاعد
common_voice_ar_19384350.wav,106028,سأعطيك آلة التصوير هذه
common_voice_ar_19384358.wav,76844,أنت تجعلني سعيداً
common_voice_ar_19384370.wav,75308,آن مشجّعة
common_voice_ar_19384363.wav,132908,تتألف هذه النظرية من ثلاثة أجزاء
common_voice_ar_19384360.wav,132908,البعض يقرأ الصحيفة و يشاهد التلفاز في آن واحد
common_voice_ar_19384389.wav,138284,استمرت المحاضرة مدة ساعتين
common_voice_ar_19384391.wav,107564,استونيا لديها نشيد وطني الخاص بها
common_voice_ar_19384404.wav,79148,الجار قبل الدار
common_voice_ar_19384401.wav,142124,حاولنا إقناعه بالعدول عن رأيه لكننا فشلنا
common_voice_ar_19384412.wav,94508,إنه يتيم حرب
common_voice_ar_19384420.wav,67628,كيف لي أن أعرف ؟
common_voice_ar_19384418.wav,80684,البارحة كان عيد ميلادي
common_voice_ar_19384441.wav,76844,ها قد أَتَوْا
common_voice_ar_19384433.wav,75308,كتبت كتاباً عن الطيور
common_voice_ar_19384445.wav,88364,قال فيليب تعال و انظر بنفسك
common_voice_ar_19384449.wav,59948,المناخ يتغير
common_voice_ar_19384462.wav,73004,دائماً ما أراه ضاحكاً
common_voice_ar_19384471.wav,67628,لا يعرف أحد اسمه
common_voice_ar_19386513.wav,102188,النجدة ساعدني
common_voice_ar_19386532.wav,130604,هناك بعض الأولاد في المنتزه
common_voice_ar_19386542.wav,106028,طلب مني النصيحة
common_voice_ar_19386533.wav,122924,إنك تذكر عيوبي دائماً
common_voice_ar_19398153.wav,172844,يجب أن تتم هذا التقرير قبل يوم الأثنين
common_voice_ar_19395296.wav,82220,أين مكان عملك ؟
common_voice_ar_19398167.wav,179756,سأُطْلِقُ عليه
common_voice_ar_19398169.wav,165932,يدرس عمي الإنجليزية في الجامعة
common_voice_ar_19398177.wav,132908,أزور أبي مرتين في السنة
common_voice_ar_19398187.wav,164396,تم توقيع اتفاق ما قبل الزواج
common_voice_ar_19398201.wav,146732,أخذ الصغير يبكي طيلة الليل
common_voice_ar_19398192.wav,147500,أعتقد أنك شخص لطيف حقاً
common_voice_ar_19398204.wav,154412,يستطيع تحدُّثَ الفرنسية أيضاً
