wav_filename,wav_filesize,transcript
common_voice_ar_19134080.wav,122924,من اخترع هذه الآلة ؟
common_voice_ar_19134081.wav,152108,ليس لديه بيت ليعيش فيه
common_voice_ar_19134079.wav,172844,هذه ملحوظة مهمة للغاية
common_voice_ar_19134082.wav,171308,ماذا ستفعل في عطلة نهاية الأسبوع ؟
common_voice_ar_19134096.wav,103724,نحن جوعانين
common_voice_ar_19134097.wav,113708,ما زال ذراعي يؤلمني
common_voice_ar_19134100.wav,134444,كيوتو ليست كبيرة كأوساكا
common_voice_ar_19134099.wav,121388,أتى ولدي إلى غرفتي
common_voice_ar_19134107.wav,86828,أتحب الرياضة ؟
common_voice_ar_19134106.wav,149804,افتُتحت المستشفى الشهر الماضي
common_voice_ar_19134108.wav,99884,لا يهتم أحد برأيك
common_voice_ar_19134109.wav,134444,اِسمح لي أن أعرّفك بمايوكو
common_voice_ar_19134110.wav,149804,يحب أخي مشاهدة أفلام الرعب
common_voice_ar_19134121.wav,90668,خيبت أملي فيك
common_voice_ar_19134124.wav,98348,هل تحب ذلك ؟
common_voice_ar_19134237.wav,102188,عليّ أن أشتري واحدة
common_voice_ar_19134123.wav,163628,سيصل الاخرون في غضون دقائق معدودة
common_voice_ar_19134125.wav,98348,إنها تعيش في راحة
common_voice_ar_19134241.wav,115244,لم لا تصغي إلي ؟
common_voice_ar_19134581.wav,80684,أُصيبت كايت بالبرد
common_voice_ar_19134583.wav,75308,هل قابلتها ؟
common_voice_ar_19134582.wav,94508,هدفي أن أصبح طبيباً
common_voice_ar_19134585.wav,119084,هل لديك أي مجلات يابانية ؟
common_voice_ar_19171010.wav,96044,ما رأيك أن تأخذ استراحة ؟
common_voice_ar_19171012.wav,115244,هل ستذهب إلى أمريكا السنة القادمة ؟
common_voice_ar_19171011.wav,107564,إن لعب كرة المضرب ممتع
common_voice_ar_19171013.wav,88364,هذه رسالة مهمة
common_voice_ar_19171014.wav,125228,بوب هو الذي ضربني و ليس هي
common_voice_ar_19171016.wav,82988,سأحبك إلى الأبد
common_voice_ar_19171017.wav,90668,أين الشاي مع الحليب ؟
common_voice_ar_19171018.wav,92204,إن الطقس حار للغاية
common_voice_ar_19171019.wav,90668,عمّن تتكلم ؟
common_voice_ar_19171026.wav,80684,الحياة جميلة
common_voice_ar_19171025.wav,113708,قررا الزواج الشهر المقبل
common_voice_ar_19171027.wav,115244,هل لاحظت كيف كان ينظر إليّ ؟
common_voice_ar_19171028.wav,96044,قاد توم السيارة
common_voice_ar_19171037.wav,96044,يمكنها أن تقود السيارة
common_voice_ar_19171042.wav,92204,أحب أن آكل البطيخ
common_voice_ar_19171035.wav,113708,أعطيته كل ما كان عندي من المال
common_voice_ar_19185869.wav,73004,هل انت بالغ؟
common_voice_ar_19171044.wav,130604,أنت تعرف الإجابة ، أليس كذلك ؟
common_voice_ar_19185868.wav,92204,تعال إلى منزلي
common_voice_ar_19185870.wav,82988,الأمل ليس خطةً
common_voice_ar_19190472.wav,84524,ما جنسيته ؟
common_voice_ar_19190473.wav,80684,أعرّفك بصديقي
common_voice_ar_19185872.wav,63788,من معي ؟
common_voice_ar_19190475.wav,90668,رفضت دعوته
common_voice_ar_19190474.wav,113708,وافق المدرس على خطته
common_voice_ar_19190483.wav,106028,إنه يتكلم الصينية بطلاقة
common_voice_ar_19190476.wav,90668,إخلع خفيك من فضلك
common_voice_ar_19190487.wav,73004,هذا أجمل
common_voice_ar_19190485.wav,67628,سقطت الشجرة
common_voice_ar_19190484.wav,109868,سمعنا ذلك من فلان و فلان
