wav_filename,wav_filesize,transcript
common_voice_ar_19216700.wav,106028,ألديك قلم ؟
common_voice_ar_19242995.wav,94508,أين المشكلة ؟
common_voice_ar_19235572.wav,186668,تقوم أمي بإعداد كعكة لأجل أبي
common_voice_ar_19967173.wav,98348,إنك تتكلم كأمك
common_voice_ar_19721750.wav,150572,هل ستسافر إلى أمريكا الشهر القادم ؟
common_voice_ar_19653471.wav,153644,لا أستطيع أن أجد أي خطأ في نظريته
common_voice_ar_19745679.wav,81452,انها تبكي
common_voice_ar_19947205.wav,112172,إنك تشرب الكثير من القهوة
common_voice_ar_19204574.wav,86828,كم الساعة ؟
common_voice_ar_19579952.wav,152108,إن التحدث بالإنجليزية أمر ممتع
common_voice_ar_19706670.wav,130604,درجتك في الإمتحان ممتازة
common_voice_ar_19664756.wav,124460,سمعت اليوم شيئاً جديداً
common_voice_ar_19219126.wav,232748,ذهبت إلى بيتي
common_voice_ar_19778911.wav,184364,توم صديقي
common_voice_ar_19220070.wav,163628,بيتي بعيد عن هنا
common_voice_ar_19837743.wav,129836,الرجل الطويل خرج من البيت
common_voice_ar_19730011.wav,113708,لماذا تتجاهل ما أقوله ؟
common_voice_ar_19665822.wav,70700,لا تتدخل
common_voice_ar_19664604.wav,80684,أرى أسداً
common_voice_ar_19214249.wav,318764,أنا متعب أعتقد أنني سأخلد إلى السرير
common_voice_ar_19664391.wav,138284,إنني أستمع إلى المذياع
common_voice_ar_19214898.wav,103724,الكرز أحمر
common_voice_ar_19226926.wav,125228,أردت الذهاب إلى هناك
common_voice_ar_19629431.wav,85292,ليس عليك الذهاب
common_voice_ar_19227038.wav,127532,أستحم كل يوم تقريباً
common_voice_ar_19247899.wav,96044,الطفل لا يمشي بعد
common_voice_ar_19247901.wav,122924,أيمكنني أن أطرح بعض الأسئلة ؟
common_voice_ar_19629531.wav,125228,حزنها العميق لا يسعه الكلمات
common_voice_ar_19148677.wav,117548,ألا تشعر بالبرد ؟
common_voice_ar_19148679.wav,84524,اشتريت ساعة
common_voice_ar_19205348.wav,116012,ساعدني في الطبخ
common_voice_ar_19206273.wav,197420,وصلت البارحة
common_voice_ar_19395294.wav,116780,حتى الأطفال يمكنهم فهم ذلك
common_voice_ar_19395295.wav,106796,ما قلته ليس له أي معنى
common_voice_ar_19206277.wav,122156,هاتان أُختان
common_voice_ar_19395293.wav,132140,انه حاليا في رحلة عمل في ناجويا
common_voice_ar_19382768.wav,90668,الأمل ليس استراتيجية
common_voice_ar_19382770.wav,80684,إنه يعمل في المصرف
common_voice_ar_19382767.wav,88364,عمّا تبحث ؟
common_voice_ar_19367226.wav,108332,لا ، لن تحتاج
